"spp","disp","r2_conditional","r2_marginal","beta_yr","se_yr","p_yr","status","park","breeding.biome","winter.biome","family","bird.group","AI","migrate","native","body.mass","trophic.level","trophic.niche","habitat","habitat.density"
"RBGU",-0.975816691686727,NA,0.00185663078832826,-0.0270047644037959,0.158606581865156,0.864803645451481,"Apparantly stable","Lake Forest Park","Wetland","Temperate North America","Laridae","waterbird","other","M","native",516.3,"Carnivore","Omnivore","Coastal",3
"RNDU",-0.607420883769139,NA,0.00759849703838408,-0.224241461656365,0.293673459353252,0.445121059727486,"Apparantly stable","Lake Forest Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",704.6,"Omnivore","Herbivore aquatic","Wetland",3
"TRES",-0.952182248897437,NA,0.0325091855669177,-0.441432704657491,0.348736859295322,0.205583064269555,"Apparantly stable","Lake Forest Park","Habitat Generalist","Widespread","Hirundinidae","landbird","AI","M","native",21.2,"Carnivore","Invertivore","Wetland",3
"VGSW",-1.26958151509014,NA,0.0504149689344638,-0.464579266272376,0.25346619392853,0.0668168103359282,"Apparantly stable","Lake Forest Park","Western Forest","Mexico-Central America","Hirundinidae","landbird","AI","M","native",14.1,"Carnivore","Invertivore","Forest",3
"WEGR",-1.16151508901793,NA,0.0535424110853734,-1.2481121328617,0.610069694614254,0.0407709618627229,"Apparantly stable","Lake Forest Park","Wetland","Temperate North America","Podicipedidae","waterbird","other","M","native",1137,"Carnivore","Aquatic predator","Wetland",3
"AGOL",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Forest Generalist","Temperate North America","Fringillidae","landbird","other","M","native",12.8,"Herbivore","Granivore","Forest",1
"AMRO",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Forest Generalist","Temperate North America","Turdidae","landbird","other","M","native",78.5,"Omnivore","Invertivore","Forest",3
"ANHU",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Aridlands","Temperate North America","Trochilidae","landbird","other","M","native",4.2,"Herbivore","Nectarivore","Woodland",2
"BCCH",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Forest Generalist","Temperate North America","Paridae","landbird","other","R","native",10.8,"Omnivore","Invertivore","Forest",1
"BOGU",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Wetland","Coastal","Laridae","waterbird","other","M","native",210.7,"Carnivore","Omnivore","Wetland",3
"CANV",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",1202,"Herbivore","Herbivore aquatic","Wetland",3
"DEJU",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Forest Generalist","Temperate North America","Passerellidae","landbird","other","M","native",19.5,"Herbivore","Granivore","Forest",2
"DOWO",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Forest Generalist","Temperate North America","Picidae","landbird","other","R","native",25.6,"Carnivore","Invertivore","Woodland",2
"EUWI",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Accidental","Accidental","Anatidae","waterfowl","other","M","accidental",770,"Herbivore","Omnivore","Wetland",3
"GRHE",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Wetland","Widespread","Ardeidae","waterbird","other","M","native",201.5,"Carnivore","Aquatic predator","Wetland",3
"HOFI",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Habitat Generalist","Widespread","Fringillidae","landbird","other","R","native",21.4,"Herbivore","Granivore","Shrubland",2
"HOGR",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Wetland","Temperate North America","Podicipedidae","waterbird","other","M","native",453,"Carnivore","Aquatic predator","Wetland",3
"HOME",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",613.8,"Carnivore","Aquatic predator","Wetland",3
"NA",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PEFA",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Habitat Generalist","Widespread","Falconidae","landbird","other","M","native",760,"Carnivore","Vertivore","Grassland",3
"PIGR",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Boreal Forest","Temperate North America","Fringillidae","landbird","other","M","native",56.4,"Herbivore","Omnivore","Forest",1
"PIGU",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Coasts","Marine","Alcidae","waterbird","other","R","native",530,"Carnivore","Aquatic predator","Marine",3
"PISI",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Forest Generalist","Temperate North America","Fringillidae","landbird","other","M","native",12.7,"Herbivore","Granivore","Forest",1
"RCKI",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Boreal Forest","Temperate North America","Regulidae","landbird","other","M","native",6.19,"Carnivore","Invertivore","Forest",1
"ROPI",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Introduced","Introduced","Columbidae","other","other","Introduced","Introduced",354.2,"Herbivore","Granivore","Human Modified",3
"RUDU",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Wetland","Widespread","Anatidae","waterfowl","other","M","native",608.2,"Omnivore","Aquatic predator","Wetland",3
"SAVS",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Grassland","Temperate North America","Passerellidae","landbird","other","M","native",20,"Omnivore","Omnivore","Grassland",3
"SBIG",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Wetland","Temperate North America","Laridae","waterbird","other","M","native",412.5,"Carnivore","Omnivore","Coastal",3
"SOSP",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Habitat Generalist","Temperate North America","Passerellidae","landbird","other","M","native",21.9,"Omnivore","Omnivore","Shrubland",2
"SPSA",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Wetland","Widespread","Scolopacidae","shorebird","other","M","native",40.4,"Carnivore","Aquatic predator","Wetland",3
"STJA",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Western Forest","Temperate North America","Corvidae","landbird","other","R","native",128,"Omnivore","Omnivore","Forest",1
"WESA",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Arctic Tundra","Widespread","Scolopacidae","shorebird","other","M","native",27.8,"Carnivore","Aquatic predator","Shrubland",3
"WISN",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Wetland","Widespread","Scolopacidae","shorebird","other","M","native",112.9,"Carnivore","Aquatic predator","Wetland",3
"YRWA",NA,NA,NA,NA,NA,NA,"Data deficient","Lake Forest Park","Forest Generalist","Widespread","Parulidae","landbird","other","M","native",11.9,"Carnivore","Invertivore","Forest",1
"AGOL",-1.17021787156934,NA,0.00571217648797239,0.0430407885475617,0.188817296766512,0.819685581806508,"Apparantly stable","Lincoln Park","Forest Generalist","Temperate North America","Fringillidae","landbird","other","M","native",12.8,"Herbivore","Granivore","Forest",1
"AMCO",-1.38830320797125,0.67170213835376,0.0333637052184528,0.181025010736702,0.421553700454841,0.667615149432281,"Apparantly stable","Lincoln Park","Wetland","Widespread","Rallidae","waterbird","other","M","native",636.7,"Herbivore","Herbivore aquatic","Wetland",3
"AMCR",-1.41972850891253,0.860627643139507,0.0329450983622863,0.276084835838845,0.104986278681417,0.00854544556336395,"Apparantly stable","Lincoln Park","Habitat Generalist","Temperate North America","Corvidae","landbird","other","M","native",448.8,"Omnivore","Omnivore","Human Modified",2
"AMRO",-1.28959291496363,0.377627627205978,0.242187762766142,-0.354230878260837,0.0916356988155916,0.000110797003701247,"Decreasing","Lincoln Park","Forest Generalist","Temperate North America","Turdidae","landbird","other","M","native",78.5,"Omnivore","Invertivore","Forest",3
"ANHU",-1.00158133790984,0.37667259985858,0.0351642823891584,-0.134874001254866,0.090168999826024,0.134708061398931,"Apparantly stable","Lincoln Park","Aridlands","Temperate North America","Trochilidae","landbird","other","M","native",4.2,"Herbivore","Nectarivore","Woodland",2
"BAEA",-1.54098316429991,0.805229371090768,0.100880909223752,0.408675151059726,0.398963066686383,0.305673144848393,"Apparantly stable","Lincoln Park","Wetland","Temperate North America","Accipitridae","landbird","other","M","native",4700.6,"Carnivore","Omnivore","Wetland",3
"BCCH",-1.40570255852864,0.331164839042874,0.0025690810049427,0.0351936914538766,0.0878911561501023,0.6888445589999,"Apparantly stable","Lincoln Park","Forest Generalist","Temperate North America","Paridae","landbird","other","R","native",10.8,"Omnivore","Invertivore","Forest",1
"BEWR",-0.890754824878548,NA,0.228212367547364,0.308784969260703,0.105852994688069,0.00353289657332002,"Increasing","Lincoln Park","Aridlands","Temperate North America","Troglodytidae","landbird","other","R","native",9.9,"Carnivore","Invertivore","Shrubland",2
"BRCR",-0.575576629880473,0.439671054358198,0.13419325363331,0.277894072706592,0.102315092280989,0.00660636649314504,"Apparantly stable","Lincoln Park","Forest Generalist","Temperate North America","Certhiidae","landbird","other","M","native",8.1,"Carnivore","Invertivore","Forest",1
"BTPI",-1.0629721028668,0.0697772815890383,0.0697766940414593,0.155523920235583,0.302793336265803,0.607510287693134,"Apparantly stable","Lincoln Park","Western Forest","Mexico-Central America","Columbidae","landbird","other","M","native",366.3,"Herbivore","Granivore","Forest",2
"BTYW",-1.38285414524569,NA,0.757905201740776,-1.00473188799824,0.631528726004705,0.111620379194045,"Apparantly stable","Lincoln Park","Western Forest","Mexico-Central America","Parulidae","landbird","other","M","native",8.7,"Carnivore","Invertivore","Forest",1
"BUSH",-1.15153012014759,0.660076741716764,0.176866329824548,0.409607228910835,0.223635822654526,0.0670137995322977,"Apparantly stable","Lincoln Park","Western Forest","Temperate North America","Aegithalidae","landbird","other","R","native",5.3,"Carnivore","Invertivore","Woodland",2
"CATE",-0.760335481129367,0.334473404620033,0.0536006972711071,-0.161152847339201,0.213322704728914,0.449984055107888,"Apparantly stable","Lincoln Park","Coasts","Widespread","Laridae","waterbird","other","M","native",655,"Carnivore","Aquatic predator","Wetland",3
"CBCH",-1.14151858961896,0.405831697681387,0.122445674435839,0.257781920781204,0.0968194855479234,0.00775624731696116,"Apparantly stable","Lincoln Park","Western Forest","Temperate North America","Paridae","landbird","other","R","native",9.4,"Omnivore","Invertivore","Forest",1
"CEDW",-0.000134843670417162,0.758952514252236,0.441174804352149,-0.768226915771002,0.479261651561493,0.108948249721254,"Apparantly stable","Lincoln Park","Forest Generalist","Temperate North America","Bombycillidae","landbird","other","M","native",31.6,"Herbivore","Frugivore","Woodland",2
"COHA",-1.35144772216679,0.534502165266065,0.00489389185214766,-0.0582242392134148,0.289545656805535,0.840629543039777,"Apparantly stable","Lincoln Park","Forest Generalist","Widespread","Accipitridae","landbird","other","M","native",429.7,"Carnivore","Vertivore","Woodland",2
"CORA",-1.33872898570872,0.734614336796133,0.291012270101187,-0.594637635450026,0.229846823084402,0.00967863746618962,"Decreasing","Lincoln Park","Habitat Generalist","Widespread","Corvidae","landbird","other","R","native",928,"Omnivore","Omnivore","Forest",3
"DEJU",-1.13684510462204,0.60010997104064,0.0845243867894106,0.261069536353579,0.0910028729556566,0.00412025169458606,"Apparantly stable","Lincoln Park","Forest Generalist","Temperate North America","Passerellidae","landbird","other","M","native",19.5,"Herbivore","Granivore","Forest",2
"DOWO",-1.33959546102902,NA,0.0683051597267258,-0.153753631321717,0.19958995941804,0.441093771879016,"Apparantly stable","Lincoln Park","Forest Generalist","Temperate North America","Picidae","landbird","other","R","native",25.6,"Carnivore","Invertivore","Woodland",2
"GCKI",-0.841495614186467,0.367961362190991,0.084022689803429,0.20704366522222,0.0923852083386199,0.0250201766590699,"Apparantly stable","Lincoln Park","Forest Generalist","Temperate North America","Regulidae","landbird","other","M","native",6.2,"Carnivore","Invertivore","Forest",1
"GWGU",-1.71381810995765,0.929080677425236,0.101356994959957,-0.678859726736431,0.30633371432097,0.0266860887365889,"Apparantly stable","Lincoln Park","Coasts","Coastal","Laridae","waterbird","other","M","native",1056.5,"Carnivore","Aquatic predator","Coastal",3
"HOFI",-1.05840218472638,0.750286691209115,0.588600114988586,0.871815925221653,0.163624806728371,9.9223472816703e-08,"Increasing","Lincoln Park","Habitat Generalist","Widespread","Fringillidae","landbird","other","R","native",21.4,"Herbivore","Granivore","Shrubland",2
"HUVI",-1.13651230193187,0.495678743741127,0.150549593278572,0.310257027891047,0.241344310937625,0.198604715438095,"Apparantly stable","Lincoln Park","Western Forest","Temperate North America","Vireonidae","landbird","other","R","native",11.3,"Carnivore","Invertivore","Forest",1
"NOFL",-1.01981562931791,NA,0.225334067521535,-0.306260981946498,0.137345975974312,0.0257573749550375,"Decreasing","Lincoln Park","Forest Generalist","Widespread","Picidae","landbird","other","M","native",131.5,"Carnivore","Invertivore","Shrubland",2
"OCWA",-1.12489928779201,NA,0.01486077082503,-0.0697440772782194,0.27823485164404,0.802072182999324,"Apparantly stable","Lincoln Park","Forest Generalist","Temperate North America","Parulidae","landbird","other","M","native",9.2,"Carnivore","Invertivore","Shrubland",1
"PAWR",-1.1787756206144,0.708536218539303,0.00161958721059767,0.0423297148541194,0.143640801877893,0.768229602278167,"Apparantly stable","Lincoln Park","Western Forest","Temperate North America","Troglodytidae","landbird","other","M","native",9.4,"Carnivore","Invertivore","Forest",1
"PISI",-1.01142219330774,0.494289854556887,0.25903639185577,0.406410602211093,0.15061144622142,0.00696727280412055,"Increasing","Lincoln Park","Forest Generalist","Temperate North America","Fringillidae","landbird","other","M","native",12.7,"Herbivore","Granivore","Forest",1
"PIWO",-1.10956656078172,NA,0.545218288768941,-0.621754852119427,0.567280307028309,0.273066712731422,"Apparantly stable","Lincoln Park","Eastern Forest","Temperate North America","Picidae","landbird","other","R","native",286.6,"Carnivore","Invertivore","Forest",1
"PUFI",-1.50116664846683,0.931323264467194,0.109774960531966,0.717930318857867,0.147917788408295,1.21254465325771e-06,"Apparantly stable","Lincoln Park","Forest Generalist","Temperate North America","Fringillidae","landbird","other","M","native",23.3,"Herbivore","Omnivore","Forest",2
"RBNU",-1.13580349845089,0.566642034056398,0.047202747116867,0.187411275493292,0.0937321074662735,0.0455612860231803,"Apparantly stable","Lincoln Park","Forest Generalist","Temperate North America","Sittidae","landbird","other","M","native",9.8,"Omnivore","Omnivore","Forest",1
"RCKI",-1.09187583101333,0.413385120896193,0.0934277358422065,-0.226619275143533,0.159976860654609,0.156607123742844,"Apparantly stable","Lincoln Park","Boreal Forest","Temperate North America","Regulidae","landbird","other","M","native",6.19,"Carnivore","Invertivore","Forest",1
"SOSP",-1.0196628972174,0.544912362876289,0.000650196848399212,-0.0214639862980077,0.0909185953122148,0.81337123896166,"Apparantly stable","Lincoln Park","Habitat Generalist","Temperate North America","Passerellidae","landbird","other","M","native",21.9,"Omnivore","Omnivore","Shrubland",2
"SPTO",-1.17981520676359,0.464560514837216,0.0592486490830076,0.188894581519419,0.0942287302172644,0.0450016609350361,"Apparantly stable","Lincoln Park","Western Forest","Temperate North America","Passerellidae","landbird","other","M","native",39.3,"Omnivore","Omnivore","Forest",2
"STJA",-1.48174983189953,0.539770222113738,0.045006902379322,0.177577392817787,0.144100501214962,0.217830962771995,"Apparantly stable","Lincoln Park","Western Forest","Temperate North America","Corvidae","landbird","other","R","native",128,"Omnivore","Omnivore","Forest",1
"SWTH",-1.22151870410027,NA,0.284094239193897,0.357716321623293,0.3779039452864,0.343852832353067,"Apparantly stable","Lincoln Park","Forest Generalist","South America","Turdidae","landbird","other","M","native",30.3,"Omnivore","Invertivore","Forest",1
"TOWA",-1.09636996155944,NA,0.24512612781361,-0.323588498448344,0.455730948075129,0.477677568167964,"Apparantly stable","Lincoln Park","Western Forest","Mexico-Central America","Parulidae","landbird","other","M","native",8.8,"Carnivore","Invertivore","Forest",1
"VATH",-1.07756778890334,0.0470888483416539,0.0316664111900793,-0.103516287931758,0.171511241748689,0.546140234859533,"Apparantly stable","Lincoln Park","Western Forest","Temperate North America","Turdidae","landbird","other","M","native",77.5,"Omnivore","Omnivore","Forest",1
"WCSP",-1.4985796255271,0.870980909206208,0.178227921812136,0.667415601106627,0.396637990714247,0.0924366712147843,"Apparantly stable","Lincoln Park","Habitat Generalist","Temperate North America","Passerellidae","landbird","other","M","native",28,"Omnivore","Omnivore","Shrubland",2
"WEFL",-1.37585533758537,0.525889415113458,0.0373623872367334,0.159409042866638,0.156361972206909,0.307971685502188,"Apparantly stable","Lincoln Park","Western Forest","Mexico-Central America","Tyrannidae","landbird","other","M","native",10.7,"Carnivore","Invertivore","Forest",1
"WETA",-1.17943869678105,0.126434644441167,0.0589838932451654,0.14755518928666,0.230793906146332,0.522603425467967,"Apparantly stable","Lincoln Park","Western Forest","Mexico-Central America","Cardinalidae","landbird","other","M","native",28.1,"Carnivore","Invertivore","Forest",1
"WIWA",-1.53659727548942,0.866332449775689,0.00419063903159245,-0.100545492033396,0.215041722103783,0.640097331412713,"Apparantly stable","Lincoln Park","Forest Generalist","Mexico-Central America","Parulidae","landbird","other","M","native",7,"Carnivore","Invertivore","Forest",1
"YRWA",-1.40264177851723,0.823234382645092,0.493804165257687,0.949104316335104,0.410684322906294,0.0208311272086292,"Increasing","Lincoln Park","Forest Generalist","Widespread","Parulidae","landbird","other","M","native",11.9,"Carnivore","Invertivore","Forest",1
"BAOW",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Forest Generalist","Temperate North America","Strigidae","landbird","other","R","native",711.5,"Carnivore","Vertivore","Forest",2
"BHCO",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Habitat Generalist","Temperate North America","Icteridae","landbird","other","M","native",40.3,"Carnivore","Invertivore","Forest",2
"BHGR",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Western Forest","Mexico-Central America","Cardinalidae","landbird","other","M","native",47.1,"Carnivore","Invertivore","Forest",2
"CAGU",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Wetland","Temperate North America","Laridae","waterbird","other","M","native",683.4,"Omnivore","Omnivore","Coastal",3
"EUST",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Introduced","Introduced","Sturnidae","other","other","Introduced","Introduced",77.1,"Omnivore","Omnivore","Human Modified",3
"FOSP",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Forest Generalist","Temperate North America","Passerellidae","landbird","other","M","native",33.3,"Omnivore","Omnivore","Forest",1
"GBHE",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Wetland","Widespread","Ardeidae","waterbird","other","M","native",2523.4,"Carnivore","Aquatic predator","Wetland",3
"GCSP",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Arctic Tundra","Temperate North America","Passerellidae","landbird","other","M","native",32,"Herbivore","Omnivore","Shrubland",2
"HAFL",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Western Forest","Mexico-Central America","Tyrannidae","landbird","other","M","native",10.4,"Carnivore","Invertivore","Forest",1
"HETH",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Forest Generalist","Temperate North America","Turdidae","landbird","other","M","native",30.1,"Omnivore","Invertivore","Forest",1
"HOSP",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Introduced","Introduced","Passeridae","other","other","Introduced","Introduced",26.5,"Herbivore","Granivore","Human Modified",3
"MALL",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Wetland","Widespread","Anatidae","waterfowl","other","M","native",843.4,"Herbivore","Herbivore aquatic","Wetland",3
"MERL",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Habitat Generalist","Widespread","Falconidae","landbird","other","M","native",188.5,"Carnivore","Vertivore","Woodland",3
"OSFL",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Forest Generalist","South America","Tyrannidae","landbird","AI","M","native",32.1,"Carnivore","Invertivore","Forest",1
"ROPI",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Introduced","Introduced","Columbidae","other","other","Introduced","Introduced",354.2,"Herbivore","Granivore","Human Modified",3
"RTHA",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Habitat Generalist","Widespread","Accipitridae","landbird","other","M","native",1101.2,"Carnivore","Vertivore","Woodland",2
"RUHU",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Western Forest","Mexico-Central America","Trochilidae","landbird","other","M","native",3.5,"Herbivore","Nectarivore","Forest",2
"SPSA",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Wetland","Widespread","Scolopacidae","shorebird","other","M","native",40.4,"Carnivore","Aquatic predator","Wetland",3
"SSHA",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Forest Generalist","Widespread","Accipitridae","landbird","other","M","native",130.6,"Carnivore","Vertivore","Forest",1
"VGSW",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Western Forest","Mexico-Central America","Hirundinidae","landbird","AI","M","native",14.1,"Carnivore","Invertivore","Forest",3
"WAVI",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Forest Generalist","Mexico-Central America","Vireonidae","landbird","other","M","native",12.7,"Carnivore","Invertivore","Forest",1
"WEWP",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Western Forest","South America","Tyrannidae","landbird","AI","M","native",13.1,"Carnivore","Invertivore","Forest",1
"WIFL",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Eastern Forest","Widespread Neotropical","Tyrannidae","landbird","other","M","native",13.4,"Carnivore","Invertivore","Shrubland",2
"YEWA",NA,NA,NA,NA,NA,NA,"Data deficient","Lincoln Park","Forest Generalist","Widespread Neotropical","Parulidae","landbird","other","M","native",10.2,"Carnivore","Invertivore","Shrubland",1
"AGOL",-1.04737159111293,0.889138816283053,0.0218731015087833,-0.244550915126509,0.0417838132278329,4.83461778105826e-09,"Apparantly stable","Magnuson Park","Forest Generalist","Temperate North America","Fringillidae","landbird","other","M","native",12.8,"Herbivore","Granivore","Forest",1
"AMCO",-1.66920171767654,0.990737682335437,0.0057132899977647,-0.43240147063761,0.162010271556756,0.00760829647149359,"Apparantly stable","Magnuson Park","Wetland","Widespread","Rallidae","waterbird","other","M","native",636.7,"Herbivore","Herbivore aquatic","Wetland",3
"AMCR",-0.859635821117505,0.749746780705371,0.00240996104587388,0.0540280183518289,0.033200632026547,0.103669370757912,"Apparantly stable","Magnuson Park","Habitat Generalist","Temperate North America","Corvidae","landbird","other","M","native",448.8,"Omnivore","Omnivore","Human Modified",2
"AMRO",-0.965101633647327,0.896707399624989,0.0425274531366844,-0.353267712147277,0.037282895296837,2.65920485284869e-21,"Apparantly stable","Magnuson Park","Forest Generalist","Temperate North America","Turdidae","landbird","other","M","native",78.5,"Omnivore","Invertivore","Forest",3
"AMWI",-1.46882808792291,0.963227931875098,0.000930168370734755,0.0875640055227354,0.100555589127816,0.383862287181314,"Apparantly stable","Magnuson Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",754.6,"Herbivore","Omnivore","Wetland",3
"ANHU",-1.03228211240907,0.931176968934727,0.0133458301955457,0.242443063678429,0.0421894653262451,9.1093022049293e-09,"Apparantly stable","Magnuson Park","Aridlands","Temperate North America","Trochilidae","landbird","other","M","native",4.2,"Herbivore","Nectarivore","Woodland",2
"BAEA",-1.19822231950425,0.720050907490508,0.0436346208194237,-0.21736015494256,0.120281436404607,0.0707472443955124,"Apparantly stable","Magnuson Park","Wetland","Temperate North America","Accipitridae","landbird","other","M","native",4700.6,"Carnivore","Omnivore","Wetland",3
"BARS",-1.0773782448614,0.543691084312443,0.285694516316731,-0.435637582049385,0.0678998385697624,1.40006752584795e-10,"Decreasing","Magnuson Park","Habitat Generalist","South America","Hirundinidae","landbird","AI","M","native",17.9,"Carnivore","Invertivore","Human Modified",3
"BCCH",-0.945165079243592,0.89315252716291,0.0279088304642992,0.281379565873142,0.0362433778666599,8.25433984021955e-15,"Apparantly stable","Magnuson Park","Forest Generalist","Temperate North America","Paridae","landbird","other","R","native",10.8,"Omnivore","Invertivore","Forest",1
"BEKI",-1.30291690379297,0.824641188330923,0.0617820636037214,-0.326791891463321,0.188275098034736,0.0826142590017376,"Apparantly stable","Magnuson Park","Wetland","Widespread","Alcedinidae","landbird","other","M","native",148,"Carnivore","Aquatic predator","Riverine",3
"BEWR",-1.05626052800606,0.932791058505152,0.00523515972876087,0.153658045409458,0.0399187748449507,0.00011847154039512,"Apparantly stable","Magnuson Park","Aridlands","Temperate North America","Troglodytidae","landbird","other","R","native",9.9,"Carnivore","Invertivore","Shrubland",2
"BHCO",-1.32558557694715,0.812145240313675,0.186240574754126,-0.548188491438561,0.0817885584031298,2.04871936530246e-11,"Apparantly stable","Magnuson Park","Habitat Generalist","Temperate North America","Icteridae","landbird","other","M","native",40.3,"Carnivore","Invertivore","Forest",2
"BHGR",-1.4060080390969,0.842357385548588,0.256725995282595,-0.702590013473635,0.313109712678323,0.02483819300285,"Decreasing","Magnuson Park","Western Forest","Mexico-Central America","Cardinalidae","landbird","other","M","native",47.1,"Carnivore","Invertivore","Forest",2
"BRCR",-1.7159005438391,0.93566603781111,0.3566715246237,1.29633704885616,0.301441056466451,1.70439232912519e-05,"Increasing","Magnuson Park","Forest Generalist","Temperate North America","Certhiidae","landbird","other","M","native",8.1,"Carnivore","Invertivore","Forest",1
"BTPI",-1.7744509278884,0.984563772152719,0.000436800737067903,0.0926136402699046,0.309925349078418,0.765073087700554,"Apparantly stable","Magnuson Park","Western Forest","Mexico-Central America","Columbidae","landbird","other","M","native",366.3,"Herbivore","Granivore","Forest",2
"BUFF",-1.67039143189881,0.994780989580121,0.000779689077819149,-0.212799452920007,0.0757075305658839,0.00494170213731837,"Apparantly stable","Magnuson Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",397.5,"Carnivore","Aquatic predator","Wetland",3
"BUOR",-1.57660706289897,0.912942713449009,0.440049720227864,-1.23780483591211,0.312980249594783,7.65674411546018e-05,"Decreasing","Magnuson Park","Western Forest","Mexico-Central America","Icteridae","landbird","other","M","native",37.9,"Carnivore","Invertivore","Forest",2
"BUSH",-1.18598643616749,0.847309414923336,0.0368596718170136,-0.270503859721974,0.0654383588566078,3.56938130948001e-05,"Apparantly stable","Magnuson Park","Western Forest","Temperate North America","Aegithalidae","landbird","other","R","native",5.3,"Carnivore","Invertivore","Woodland",2
"CAGU",-1.33252032831027,0.938294338033234,0.0161729347075323,0.281861508946422,0.0971474319099439,0.00371524351309808,"Apparantly stable","Magnuson Park","Wetland","Temperate North America","Laridae","waterbird","other","M","native",683.4,"Omnivore","Omnivore","Coastal",3
"CANG",-1.18161885996426,0.841306107664275,6.28421949527214e-05,0.0109559345839038,0.0870541323137934,0.899849097796782,"Apparantly stable","Magnuson Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",2811.7,"Herbivore","Herbivore terrestrial","Grassland",3
"CANV",-1.8882849900029,0.995823696411976,0.0190359544504172,-1.17542564468762,0.458233523339904,0.010313904465122,"Apparantly stable","Magnuson Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",1202,"Herbivore","Herbivore aquatic","Wetland",3
"CAQU",-1.48390169477101,0.938480126971056,0.502913109117311,-1.57413736107774,0.264425177290476,2.63184400460973e-09,"Decreasing","Magnuson Park","Aridlands","Temperate North America","Odontophoridae","landbird","other","R","native",165.7,"Herbivore","Omnivore","Shrubland",2
"CATE",-1.72369641869165,0.967943457886091,0.0244915526227955,0.481231099437568,0.235007676164727,0.040586950390079,"Apparantly stable","Magnuson Park","Coasts","Widespread","Laridae","waterbird","other","M","native",655,"Carnivore","Aquatic predator","Wetland",3
