"spp","disp","r2_conditional","r2_marginal","beta_yr","se_yr","p_yr","status","park","breeding.biome","winter.biome","family","bird.group","AI","migrate","native","body.mass","trophic.level","trophic.niche","habitat","habitat.density"
"GCKI",-0.917980563167032,0.798896901584714,0.001093282553391,0.043082887574953,0.028929736087558,0.136428117396147,"Apparantly stable","Discovery Park","Forest Generalist","Temperate North America","Regulidae","landbird","other","M","native",6.2,"Carnivore","Invertivore","Forest",1
"GCSP",-1.44783513767532,0.888472453583239,0.0112671801104558,-0.185722499609714,0.0743541972287855,0.0124963898930069,"Apparantly stable","Discovery Park","Arctic Tundra","Temperate North America","Passerellidae","landbird","other","M","native",32,"Herbivore","Omnivore","Shrubland",2
"GRSC",-1.87231044590466,0.993719859094937,0.0115538542938021,-0.7925500996504,0.201440980251998,8.34035657300349e-05,"Apparantly stable","Discovery Park","Arctic Tundra","Temperate North America","Anatidae","waterfowl","other","M","native",1005.4,"Omnivore","Aquatic predator","Wetland",3
"GWGU",-0.969502979343511,0.88729963964361,0.0330740799246233,-0.316540445424993,0.0440995070161177,7.08068109959027e-13,"Apparantly stable","Discovery Park","Coasts","Coastal","Laridae","waterbird","other","M","native",1056.5,"Carnivore","Aquatic predator","Coastal",3
"HAFL",-1.92533938282556,0.986313684698619,0.00531494158152646,-0.364127897049249,0.522339587125397,0.485734259016269,"Apparantly stable","Discovery Park","Western Forest","Mexico-Central America","Tyrannidae","landbird","other","M","native",10.4,"Carnivore","Invertivore","Forest",1
"HAWO",-1.40281748636703,0.744276612952487,0.0134624327461188,0.134067813037794,0.156259769787796,0.390903310179307,"Apparantly stable","Discovery Park","Forest Generalist","Temperate North America","Picidae","landbird","other","R","native",62.7,"Carnivore","Invertivore","Forest",1
"HEEG",-1.92828278343972,0.992654656211775,0.00083620663701268,-0.197150878797877,0.220792505080661,0.371897990066478,"Apparantly stable","Discovery Park","Coasts","Coastal","Laridae","waterbird","other","M","native",499.99,"Carnivore","Aquatic predator","Coastal",3
"HERG",-1.94264547361997,0.990998320084749,0.000709080371036945,-0.163996252603151,0.419641297098282,0.69594431098642,"Apparantly stable","Discovery Park","Wetland","Temperate North America","Laridae","waterbird","other","M","native",1091,"Carnivore","Aquatic predator","Coastal",3
"HETH",-1.46223838946934,0.846128751943525,0.00706044319776296,0.125165667346728,0.150331715888645,0.405072307856519,"Apparantly stable","Discovery Park","Forest Generalist","Temperate North America","Turdidae","landbird","other","M","native",30.1,"Omnivore","Invertivore","Forest",1
"HOFI",-0.993771820114566,0.809811151042054,3.13114309239156e-05,-0.00749733485566295,0.0367689364856256,0.838428484547828,"Apparantly stable","Discovery Park","Habitat Generalist","Widespread","Fringillidae","landbird","other","R","native",21.4,"Herbivore","Granivore","Shrubland",2
"HOGR",-1.87547622795709,0.996160155853362,2.83472897442616e-05,0.0502049973404036,0.0775690573986267,0.517483295491593,"Apparantly stable","Discovery Park","Wetland","Temperate North America","Podicipedidae","waterbird","other","M","native",453,"Carnivore","Aquatic predator","Wetland",3
"HOME",-1.93120099585651,0.992529119949997,0.00276945838072703,-0.3557619651713,0.262255708825477,0.174925470516778,"Apparantly stable","Discovery Park","Wetland","Temperate North America","Anatidae","waterfowl","other","M","native",613.8,"Carnivore","Aquatic predator","Wetland",3
"HOSP",-1.72543393048513,0.988520034227065,0.17205332079735,-2.26208650452014,0.249274302635084,1.1400372504121e-19,"Apparantly stable","Discovery Park","Introduced","Introduced","Passeridae","other","other","Introduced","Introduced",26.5,"Herbivore","Granivore","Human Modified",3
"HUVI",-1.19768203466879,0.742779409367656,0.0912656592681218,0.348055745966968,0.0725484281649379,1.60606693598678e-06,"Apparantly stable","Discovery Park","Western Forest","Temperate North America","Vireonidae","landbird","other","R","native",11.3,"Carnivore","Invertivore","Forest",1
"KILL",-1.73664459807032,0.972498106260568,0.0206070274812826,-0.505794789368164,0.208238402998625,0.0151437997516532,"Apparantly stable","Discovery Park","Habitat Generalist","Widespread","Charadriidae","shorebird","other","M","native",96.4,"Carnivore","Omnivore","Wetland",3
"LESC",-1.88268713277367,0.990492740258083,0.0116884175325497,0.647885342354093,0.323858052598101,0.0454438657054262,"Apparantly stable","Discovery Park","Wetland","Widespread","Anatidae","waterfowl","other","M","native",819.5,"Omnivore","Aquatic predator","Wetland",3
"LISP",-1.83703205324244,0.989519436813459,0.00977019788041311,-0.564166566181509,0.183343190187089,0.00209020439207067,"Apparantly stable","Discovery Park","Boreal Forest","Temperate North America","Passerellidae","landbird","other","M","native",16.6,"Omnivore","Omnivore","Wetland",2
"MALL",-1.46374515287185,0.952710805125007,0.00200136609057915,-0.120207145509862,0.0585381709518423,0.040025745887224,"Apparantly stable","Discovery Park","Wetland","Widespread","Anatidae","waterfowl","other","M","native",843.4,"Herbivore","Herbivore aquatic","Wetland",3
"MAMU",-1.92199548180855,0.98972622805612,0.00542232758679923,0.424498237125522,0.411011233084191,0.301690858022338,"Apparantly stable","Discovery Park","Coasts","Marine","Alcidae","waterbird","other","M","native",220,"Carnivore","Aquatic predator","Marine",3
"MERL",-1.41995727614221,0.778365033197202,0.0165336203419633,0.159592624441658,0.17184029930376,0.353030889805095,"Apparantly stable","Discovery Park","Habitat Generalist","Widespread","Falconidae","landbird","other","M","native",188.5,"Carnivore","Vertivore","Woodland",3
"MGWA",-1.6782651729514,0.911218157092434,0.198320253876148,-0.873312009964201,0.555648429640505,0.116020403971782,"Apparantly stable","Discovery Park","Western Forest","Mexico-Central America","Parulidae","landbird","other","M","native",10.4,"Carnivore","Invertivore","Forest",1
"MODO",-1.58104629561252,0.871381395205666,0.155261439597167,-0.641989437736906,0.276918814074517,0.0204313454289079,"Apparantly stable","Discovery Park","Habitat Generalist","Widespread","Columbidae","landbird","other","M","native",118.9,"Herbivore","Granivore","Human Modified",3
"NA",-1.23295745278036,0.996778731130384,0.0864155721388951,3.02642902044496,0.259327313392208,1.80772517355928e-31,"Apparantly stable","Discovery Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NOFL",-0.903204214545419,0.570755867773349,0.0442765221301388,-0.187664679867084,0.0292285974612922,1.35752088850099e-10,"Apparantly stable","Discovery Park","Forest Generalist","Widespread","Picidae","landbird","other","M","native",131.5,"Carnivore","Invertivore","Shrubland",2
