"","source","park","species","beta_yr","se_yr","p_yr","r2","disp"
"69","Discovery Park","Discovery Park","BHGR",-0.0112928100306474,0.0848082051052969,0.89406918094039,2.63261753920396e-05,0.804223051599512
"70","Discovery Park","Discovery Park","BRAN",-0.343549220486893,0.319595956950584,0.282397749801387,0.00226668566288539,0.161694416603667
"71","Discovery Park","Discovery Park","BRCR",0.304589463165802,0.0427310277716167,1.01791099049056e-12,0.0205724972804269,0.686067444302753
"72","Discovery Park","Discovery Park","BTPI",-0.119812922076238,0.0665592299888196,0.0718456746294218,0.00383094036545603,0.914052303980025
"73","Discovery Park","Discovery Park","BTYW",0.45650859614514,0.0942772590151082,1.28414543959493e-06,0.0379783423852235,0.700918353493918
"74","Discovery Park","Discovery Park","BUFF",-0.132042116312141,0.108768005990893,0.224755598878563,0.000217925220685081,0.290277251434135
"75","Discovery Park","Discovery Park","BUSH",-0.459377640987924,0.0715297615717647,1.34328578709791e-10,0.119808600472862,2.01088628842514
"76","Discovery Park","Discovery Park","CAGU",0.0382395307812971,0.120552163319182,0.751089429453847,2.33009345907208e-05,0.174106067780387
"77","Discovery Park","Discovery Park","CANG",-0.216389395269901,0.250296940036261,0.387296408889188,0.033387641616979,14.7576118600395
"78","Discovery Park","Discovery Park","CAQU",-3.69840914824029,0.874915470060921,2.36657622824404e-05,0.72547734689535,0.109549309963183
"79","Discovery Park","Discovery Park","CATE",0.515139966278681,0.0789144919197593,6.67317500550951e-11,0.0527348729489486,0.349876851171393
"80","Discovery Park","Discovery Park","CBCH",0.239566397858129,0.035492682841528,1.48109842487162e-11,0.0243068230805587,0.851466651464264
"81","Discovery Park","Discovery Park","CEDW",-0.163485640105495,0.0540418953408737,0.00248497675443536,0.00934749765015047,0.794022842486542
"82","Discovery Park","Discovery Park","CLSW",-1.30490827622414,0.471783577102009,0.00567651716805369,0.0859797605748119,0.136689370856113
"83","Discovery Park","Discovery Park","COGO",0.324523276713946,0.109163293373177,0.00295073436217953,0.00110851179324426,0.111426563980213
"84","Discovery Park","Discovery Park","COHA",-0.026446441887579,0.0979449767963374,0.787150057064101,0.000162152556628595,1.24199309739735
"85","Discovery Park","Discovery Park","COLO",-0.114723614351956,0.266554284438979,0.66690837796453,0.000312056694456682,0.156466126097345
"86","Discovery Park","Discovery Park","COME",2.21609111285068,0.428956797722239,2.38857964083024e-07,0.0767292505759442,0.104770346133578
"87","Discovery Park","Discovery Park","CORA",1.74013751562453,0.151425440281775,1.45205747381574e-30,0.461617928364232,0.41247045923426
"88","Discovery Park","Discovery Park","COYE",-0.244582856642372,0.310730303215924,0.431210077224735,0.00509632070160693,0.221350574493962
"89","Discovery Park","Discovery Park","DCCO",0.312867305289216,0.0719274184353988,1.36284036550905e-05,0.0121468988458672,0.351966163170025
"90","Discovery Park","Discovery Park","DEJU",0.393477706432703,0.0292192387322015,2.46627963442339e-41,0.0622401783028981,0.978939911780562
"91","Discovery Park","Discovery Park","DOWO",0.0222949257230835,0.0565795534881241,0.693547352049441,0.000116053388951802,0.812123936893179
"92","Discovery Park","Discovery Park","EUST",-0.983377706089672,0.0779574827187763,1.76154749562854e-36,0.254981768560416,0.72012682306984
"93","Discovery Park","Discovery Park","EVGR",-0.446176583579365,0.206327907576147,0.0305824621970659,0.0577957570742584,0.615273834797246
"94","Discovery Park","Discovery Park","FOSP",0.00141215934541021,0.0637410692943808,0.982324614477257,3.79293416250529e-07,0.58783811078158
"95","Discovery Park","Discovery Park","GADW",-1.45074412731359,0.220842871342792,5.06122462596039e-11,0.0281841771758012,0.197082099849325
