PARK,YEAR,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_90,VALUE_95
Lincoln Park,2010,3942804.614,1869683.761,2160308.179,3700617.599,48437.40312,213124.5738,0,2567182.366,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2010,8147171.206,5153739.692,5560613.879,4407803.684,1172185.156,0,0,0,0,9687.480625,0,726561.0469,0,9687.480625
Seward Park,2010,9978105.044,1782496.435,1414372.171,649061.2019,0,0,0,4979365.041,1288434.923,29062.44188,9687.480625,0,9687.480625,106562.2869
Washington Park Arboretum,2010,0,7546547.407,3303430.893,1918121.164,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2011,2673744.652,3904054.692,3526242.948,3923429.653,513436.4731,261561.9769,145312.2094,397186.7056,3284055.932,0,0,0,1675934.148,9687.480625
Cheasty Greenspace,2011,0,4843740.313,2034370.931,3729680.041,484374.0313,0,0,0,0,0,0,0,0,0
Discovery Park,2011,10811228.38,8544357.911,8089046.322,7401235.197,1269059.962,397186.7056,3041868.916,678123.6438,5541238.918,154999.69,29062.44188,2237808.024,900935.6981,435936.6281
Genesee Park,2011,2160308.179,1114060.272,1985933.528,3138743.723,0,0,0,0,0,0,0,0,0,0
Golden Gardens,2011,4611240.777,1859996.28,2092495.815,2199058.102,164687.1706,19374.96125,9687.480625,319686.8606,629686.2406,0,0,0,38749.9225,9687.480625
Lake Forest Park,2011,1859996.28,87187.32562,1143122.714,1114060.272,513436.4731,0,0,0,0,0,0,0,0,0
Lincoln Park,2011,3797492.405,1869683.761,2189370.621,3729680.041,48437.40312,251874.4962,0,2615619.769,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2011,8147171.206,5269989.46,5609051.282,4398116.204,1152810.194,0,0,0,0,9687.480625,0,590936.3181,0,9687.480625
Seward Park,2011,10007167.49,1782496.435,1414372.171,649061.2019,0,0,0,4959990.08,1298122.404,9687.480625,9687.480625,0,9687.480625,106562.2869
Washington Park Arboretum,2011,0,7546547.407,3303430.893,1918121.164,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2012,2731869.536,3904054.692,3535930.428,3923429.653,513436.4731,193749.6125,145312.2094,397186.7056,3284055.932,0,0,0,1675934.148,9687.480625
Cheasty Greenspace,2012,0,4843740.313,1995621.009,3768429.963,484374.0313,0,0,0,0,0,0,0,0,0
Discovery Park,2012,10908103.18,8544357.911,7963109.074,7004048.492,1259372.481,406874.1863,3051556.397,687811.1244,5531551.437,164687.1706,445624.1088,2266870.466,900935.6981,397186.7056
Genesee Park,2012,2150620.699,1114060.272,1995621.009,3138743.723,0,0,0,0,0,0,0,0,0,0
Golden Gardens,2012,4640303.219,1859996.28,2053745.893,2199058.102,174374.6512,19374.96125,9687.480625,319686.8606,629686.2406,0,0,0,38749.9225,9687.480625
Lake Forest Park,2012,1859996.28,87187.32562,1152810.194,1104372.791,513436.4731,0,0,0,0,0,0,0,0,0
Lincoln Park,2012,3923429.653,1869683.761,2150620.699,3719992.56,48437.40312,213124.5738,0,2576869.846,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2012,8108421.283,5376551.747,5686551.127,4378741.242,1181872.636,0,0,0,0,19374.96125,0,426249.1475,0,9687.480625
Seward Park,2012,9910292.679,1763121.474,1453122.094,649061.2019,0,0,0,5027802.444,1307809.884,9687.480625,9687.480625,0,9687.480625,106562.2869
Washington Park Arboretum,2012,0,7527172.446,3322805.854,1918121.164,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2013,2731869.536,3904054.692,3535930.428,3913742.172,513436.4731,203437.0931,145312.2094,397186.7056,3284055.932,0,0,0,1675934.148,9687.480625
Cheasty Greenspace,2013,0,4843740.313,1985933.528,3778117.444,484374.0313,0,0,0,0,0,0,0,0,0
Discovery Park,2013,10772478.46,8554045.392,7943734.112,7013735.973,1259372.481,494061.5119,3051556.397,687811.1244,5531551.437,174374.6512,474686.5506,2266870.466,900935.6981,406874.1863
Genesee Park,2013,2150620.699,1114060.272,1985933.528,3148431.203,0,0,0,0,0,0,0,0,0,0
Golden Gardens,2013,4630615.739,1859996.28,2073120.854,2179683.141,184062.1319,19374.96125,9687.480625,319686.8606,629686.2406,0,0,0,38749.9225,9687.480625
Lake Forest Park,2013,1869683.761,87187.32562,1143122.714,1104372.791,513436.4731,0,0,0,0,0,0,0,0,0
Lincoln Park,2013,3923429.653,1869683.761,2150620.699,3719992.56,48437.40312,213124.5738,0,2576869.846,184062.1319,0,0,0,0,38749.9225
Magnuson Park,2013,8098733.803,5434676.631,5647801.204,4407803.684,1162497.675,0,0,0,0,19374.96125,0,406874.1863,0,9687.480625
Seward Park,2013,9890917.718,1763121.474,1462809.574,629686.2406,0,0,0,5027802.444,1307809.884,38749.9225,9687.480625,0,9687.480625,106562.2869
Washington Park Arboretum,2013,0,7517484.965,3332493.335,1918121.164,0,0,0,184062.1319,0,0,0,0,0,0
Carkeek Park,2014,2722182.056,3913742.172,3526242.948,3913742.172,513436.4731,222812.0544,145312.2094,387499.225,3284055.932,0,0,0,1675934.148,9687.480625
Cheasty Greenspace,2014,0,4814677.871,2005308.489,3787804.924,484374.0313,0,0,0,0,0,0,0,0,0
Discovery Park,2014,10791853.42,8583107.834,7895296.709,6984673.531,1298122.404,494061.5119,3070931.358,678123.6438,5531551.437,174374.6512,474686.5506,2247495.505,900935.6981,406874.1863
Genesee Park,2014,2150620.699,1114060.272,2005308.489,3129056.242,0,0,0,0,0,0,0,0,0,0
Golden Gardens,2014,4591865.816,1850308.799,2092495.815,2199058.102,184062.1319,29062.44188,9687.480625,319686.8606,629686.2406,0,0,0,38749.9225,9687.480625
Lake Forest Park,2014,1879371.241,87187.32562,1123747.752,1114060.272,513436.4731,0,0,0,0,0,0,0,0,0
