"","spp","disp","r2","beta_yr","se_yr","p_yr","park"
"352","NOFL","-1.29517988346675","0.0979901225616109","-0.741958764382856","0.538769645209902","0.168470382027158","Lake Forest Park"
"353","NSHO","-1.36738547125387","0.0656608465863511","-0.59041268177761","0.510644573433565","0.247595014590934","Lake Forest Park"
"354","OSPR","-1.31692603116541","0.00593167067537015","0.159529419267301","0.414490592026273","0.70032582343149","Lake Forest Park"
"355","PBGR","-1.49544331867769","0.144549541954988","-0.549682272787047","0.19830748851618","0.00557355541181958","Lake Forest Park"
"356","RBGU","-0.975816691686675","0.000446380766688681","-0.027004744970881","0.158606467730111","0.864803645451425","Lake Forest Park"
"357","RNDU","-0.607420883770949","0.0135172660665365","-0.224241300290451","0.293673248022373","0.445121059725695","Lake Forest Park"
"358","TRES","-0.952182248897748","0.0464438636825106","-0.44143238699721","0.348736608340256","0.205583064269776","Lake Forest Park"
"359","VGSW","-1.26958151506694","0.0759129629946911","-0.464578931922189","0.253466011535052","0.0668168103596379","Lake Forest Park"
"360","WEGR","-1.16151508901774","0.225594884248001","-1.2481112347059","0.610069255601251","0.0407709618627701","Lake Forest Park"
"361","AGOL","-1.13968896608961","0.00204508521861912","0.0456955535200319","0.200463615274196","0.819685606177988","Lincoln Park"
"362","AMCR","-1.24701526511494","0.0134685490133285","0.0614344523206811","0.0899394572493489","0.494566072843677","Lincoln Park"
"363","AMRO","-1.37200386789187","0.3446265563896","-0.388046428436477","0.0950512977527289","4.45548100338012e-05","Lincoln Park"
"364","ANHU","-0.400532855558871","0.0912443439334554","-0.180785584614398","0.0913716765850387","0.0478640374844642","Lincoln Park"
"365","BAEA","-1.93377839104438","0.0649162324311185","0.379780406113593","0.401213201585344","0.343852821745553","Lincoln Park"
"366","BCCH","-1.95648485387318","0.005311667441249","-0.0354005135428999","0.0880101542243074","0.68751318360454","Lincoln Park"
"367","BEWR","-1.3652446821957","0.216694898128594","0.327830908630755","0.112382042588467","0.00353289860741433","Lincoln Park"
"368","BRCR","0.336744952817416","0.102400508318354","0.220606563715734","0.100852808939823","0.0287125193705898","Lincoln Park"
"369","BTPI","-1.24495279503357","0.0143629225388088","0.165116896293244","0.321469625174456","0.607509716142982","Lincoln Park"
"370","BUSH","1.91927064951552","0.0539074068544906","0.315703901752543","0.215385279235976","0.142712701410874","Lincoln Park"
"371","CATE","-0.18832934833502","0.0210441692960817","-0.175971387014215","0.223991049144827","0.43209135001056","Lincoln Park"
"372","CBCH","-1.97496673689412","0.149805722399157","0.219026617900657","0.0967466526956392","0.0235790763497174","Lincoln Park"
"373","COHA","-1.38659054431466","0.00020780061349468","-0.0187162820192894","0.303052551954329","0.950754598129529","Lincoln Park"
"374","CORA","-0.839075368672203","0.245734170230594","-0.617191237416059","0.239596691059231","0.00999625171642866","Lincoln Park"
"375","DEJU","-1.79283950867225","0.0621393625651384","0.126638957301354","0.0880800105670422","0.150498806844147","Lincoln Park"
"376","DOWO","-1.89477252284959","0.0289860798683389","-0.163237208380889","0.21190073893166","0.441093776004839","Lincoln Park"
"377","GCKI","-0.622212200360172","0.0609135089887748","0.143137832672656","0.0913592657401629","0.11717133914154","Lincoln Park"
"378","HOFI","0.49181633559179","0.475999284578208","0.904436144503278","0.165930807803567","5.01768912960517e-08","Lincoln Park"
"379","HUVI","0.14038808018416","0.0574098024385897","0.341110906201386","0.252326451133102","0.176419002514697","Lincoln Park"
"380","NOFL","-1.03162247356146","0.145683342278411","-0.32515131852459","0.14581753449343","0.025757362078819","Lincoln Park"
"381","OCWA","-1.65521066730353","0.0036004777267642","-0.0740459613334671","0.295396473109316","0.802072064292205","Lincoln Park"
"382","PAWR","0.364207030594458","0.0074565067033654","0.0769585179761269","0.143155132962605","0.590861341226094","Lincoln Park"
"383","PISI","1.3673534099918","0.154573882123602","0.45451853838398","0.156144628417148","0.00360410470269152","Lincoln Park"
"384","PUFI","0.377520483215945","0.546624293361246","0.948264482146079","0.151025865251509","3.41148512124158e-10","Lincoln Park"
"385","RBNU","-1.3446763716772","0.0876787601300878","0.164485836310688","0.0918300084458293","0.0732613369180134","Lincoln Park"
"386","RCKI","0.431852600435419","0.0508197460823341","-0.231345186231073","0.16679831206056","0.165449208199593","Lincoln Park"
"387","SOSP","-0.935907259789615","0.0189151903729488","0.0751009101768776","0.0899154634113563","0.403583102355084","Lincoln Park"
"388","SPTO","-0.946415911230833","0.157241877065545","0.244147444149869","0.0950418748474239","0.0102039328000157","Lincoln Park"
"389","STJA","-1.4845431002436","0.0230953120843572","0.114757770396491","0.142678491868727","0.421217831890726","Lincoln Park"
"390","SWTH","-1.52473986915148","0.0558498043358744","0.379780406113593","0.401213201585308","0.343852821745509","Lincoln Park"
"391","VATH","-0.833007233859081","0.0133861039592944","-0.109904871733671","0.181964791128354","0.545850445792115","Lincoln Park"
"392","WEFL","-0.979002921818218","0.0181405916109844","0.116259704972462","0.15701419969997","0.459032626617053","Lincoln Park"
"393","WETA","-1.01051955925843","0.0160383390437084","0.153154971460957","0.240607735154983","0.524428515902321","Lincoln Park"
"394","WIWA","-1.11164909837516","0.0109558441051052","-0.112660533783313","0.21671388575684","0.603162272205688","Lincoln Park"
